session_id,t_end,label,r0_bot,r0_top,dr0_bot,dr0_top,r1_bot,r1_top,dr1_bot,dr1_top,r2_bot,r2_top,dr2_bot,dr2_top,r3_bot,r3_top,dr3_bot,dr3_top,r4_bot,r4_top,dr4_bot,dr4_top
S1,1756553703,0,4.651462136,0.797558775,3.826324298,-3.367469657,4.470357928,0.992018145,-1.952875571,2.096886408,5.194429709,0.762954782,10.50908061,-3.324594887,5.937086828,0.97416631,7.887435587,2.243185016,5.860520455,0.972471079,-1.00047866,-0.02215127
S1,1756553704,0,4.470357928,0.992018145,-1.952875571,2.096886408,5.194429709,0.762954782,10.50908061,-3.324594887,5.937086828,0.97416631,7.887435587,2.243185016,5.860520455,0.972471079,-1.00047866,-0.02215127,5.100313716,0.642806347,-9.39806578,-4.075484574
S1,1756553705,1,5.194429709,0.762954782,10.50908061,-3.324594887,5.937086828,0.97416631,7.887435587,2.243185016,5.860520455,0.972471079,-1.00047866,-0.02215127,5.100313716,0.642806347,-9.39806578,-4.075484574,4.503709582,0.763806258,-6.41516847,1.301088561
S1,1756553706,1,5.937086828,0.97416631,7.887435587,2.243185016,5.860520455,0.972471079,-1.00047866,-0.02215127,5.100313716,0.642806347,-9.39806578,-4.075484574,4.503709582,0.763806258,-6.41516847,1.301088561,4.519933628,0.854283325,0.200323173,1.117147565
S1,1756553707,0,5.860520455,0.972471079,-1.00047866,-0.02215127,5.100313716,0.642806347,-9.39806578,-4.075484574,4.503709582,0.763806258,-6.41516847,1.301088561,4.519933628,0.854283325,0.200323173,1.117147565,4.490267253,0.87321246,-0.445496324,0.284256494
S1,1756553708,0,5.100313716,0.642806347,-9.39806578,-4.075484574,4.503709582,0.763806258,-6.41516847,1.301088561,4.519933628,0.854283325,0.200323173,1.117147565,4.490267253,0.87321246,-0.445496324,0.284256494,4.661416094,0.727186359,2.527597294,-2.156574218
S1,1756553710,1,4.503709582,0.763806258,-6.41516847,1.301088561,4.519933628,0.854283325,0.200323173,1.117147565,4.490267253,0.87321246,-0.445496324,0.284256494,4.661416094,0.727186359,2.527597294,-2.156574218,5.138764443,0.637887137,6.056440297,-1.132999418
S1,1756553711,1,4.519933628,0.854283325,0.200323173,1.117147565,4.490267253,0.87321246,-0.445496324,0.284256494,4.661416094,0.727186359,2.527597294,-2.156574218,5.138764443,0.637887137,6.056440297,-1.132999418,5.19339003,0.87823687,0.680591359,2.994566486
S1,1756553712,0,4.490267253,0.87321246,-0.445496324,0.284256494,4.661416094,0.727186359,2.527597294,-2.156574218,5.138764443,0.637887137,6.056440297,-1.132999418,5.19339003,0.87823687,0.680591359,2.994566486,5.126012095,0.822192192,-0.844490085,-0.70244325
S1,1756553713,1,4.661416094,0.727186359,2.527597294,-2.156574218,5.138764443,0.637887137,6.056440297,-1.132999418,5.19339003,0.87823687,0.680591359,2.994566486,5.126012095,0.822192192,-0.844490085,-0.70244325,4.82420978,0.415932687,-3.888655394,-5.234562938
S1,1756553714,1,5.138764443,0.637887137,6.056440297,-1.132999418,5.19339003,0.87823687,0.680591359,2.994566486,5.126012095,0.822192192,-0.844490085,-0.70244325,4.82420978,0.415932687,-3.888655394,-5.234562938,5.360643618,0.5800862,8.294379621,2.53815375
S1,1756553715,1,5.19339003,0.87823687,0.680591359,2.994566486,5.126012095,0.822192192,-0.844490085,-0.70244325,4.82420978,0.415932687,-3.888655394,-5.234562938,5.360643618,0.5800862,8.294379621,2.53815375,3.824251561,1.274715655,-16.31350465,7.375617944
S1,1756553716,1,5.126012095,0.822192192,-0.844490085,-0.70244325,4.82420978,0.415932687,-3.888655394,-5.234562938,5.360643618,0.5800862,8.294379621,2.53815375,3.824251561,1.274715655,-16.31350465,7.375617944,3.203014205,1.989798985,-7.336100896,8.444314262
S1,1756553717,0,4.82420978,0.415932687,-3.888655394,-5.234562938,5.360643618,0.5800862,8.294379621,2.53815375,3.824251561,1.274715655,-16.31350465,7.375617944,3.203014205,1.989798985,-7.336100896,8.444314262,2.82846248,2.429032729,-5.442295143,6.382134993
S1,1756553718,0,5.360643618,0.5800862,8.294379621,2.53815375,3.824251561,1.274715655,-16.31350465,7.375617944,3.203014205,1.989798985,-7.336100896,8.444314262,2.82846248,2.429032729,-5.442295143,6.382134993,2.299304243,3.080064934,-7.887593551,9.704237901
S1,1756553719,0,3.824251561,1.274715655,-16.31350465,7.375617944,3.203014205,1.989798985,-7.336100896,8.444314262,2.82846248,2.429032729,-5.442295143,6.382134993,2.299304243,3.080064934,-7.887593551,9.704237901,2.270022026,3.471743078,-0.448214953,5.995311257
S1,1756553720,0,3.203014205,1.989798985,-7.336100896,8.444314262,2.82846248,2.429032729,-5.442295143,6.382134993,2.299304243,3.080064934,-7.887593551,9.704237901,2.270022026,3.471743078,-0.448214953,5.995311257,2.348659192,3.662813127,0.988835859,2.402641473
S1,1756553721,0,2.82846248,2.429032729,-5.442295143,6.382134993,2.299304243,3.080064934,-7.887593551,9.704237901,2.270022026,3.471743078,-0.448214953,5.995311257,2.348659192,3.662813127,0.988835859,2.402641473,2.200568108,3.455792239,-1.605396191,-2.244230619
S1,1756553722,0,2.299304243,3.080064934,-7.887593551,9.704237901,2.270022026,3.471743078,-0.448214953,5.995311257,2.348659192,3.662813127,0.988835859,2.402641473,2.200568108,3.455792239,-1.605396191,-2.244230619,2.108767412,3.993356984,-1.050506445,6.151535377
S1,1756553723,0,2.270022026,3.471743078,-0.448214953,5.995311257,2.348659192,3.662813127,0.988835859,2.402641473,2.200568108,3.455792239,-1.605396191,-2.244230619,2.108767412,3.993356984,-1.050506445,6.151535377,1.825212316,3.87703495,-3.402041465,-1.395610198
S1,1756553724,0,2.348659192,3.662813127,0.988835859,2.402641473,2.200568108,3.455792239,-1.605396191,-2.244230619,2.108767412,3.993356984,-1.050506445,6.151535377,1.825212316,3.87703495,-3.402041465,-1.395610198,1.440277751,3.751586331,-4.58817411,-1.49526739
S1,1756553725,1,2.200568108,3.455792239,-1.605396191,-2.244230619,2.108767412,3.993356984,-1.050506445,6.151535377,1.825212316,3.87703495,-3.402041465,-1.395610198,1.440277751,3.751586331,-4.58817411,-1.49526739,1.07,5.113208386,-3.960072957,14.56237287
S1,1756553726,1,2.108767412,3.993356984,-1.050506445,6.151535377,1.825212316,3.87703495,-3.402041465,-1.395610198,1.440277751,3.751586331,-4.58817411,-1.49526739,1.07,5.113208386,-3.960072957,14.56237287,0.81,5.06518509,-3.30169166,-0.609838904
S1,1756553727,1,1.825212316,3.87703495,-3.402041465,-1.395610198,1.440277751,3.751586331,-4.58817411,-1.49526739,1.07,5.113208386,-3.960072957,14.56237287,0.81,5.06518509,-3.30169166,-0.609838904,0.937763296,4.730687054,0.807299444,-2.113596679
S1,1756553728,1,1.440277751,3.751586331,-4.58817411,-1.49526739,1.07,5.113208386,-3.960072957,14.56237287,0.81,5.06518509,-3.30169166,-0.609838904,0.937763296,4.730687054,0.807299444,-2.113596679,0.980612054,4.044947466,0.554633649,-8.876202562
S1,1756553729,0,1.07,5.113208386,-3.960072957,14.56237287,0.81,5.06518509,-3.30169166,-0.609838904,0.937763296,4.730687054,0.807299444,-2.113596679,0.980612054,4.044947466,0.554633649,-8.876202562,1.050761629,3.962839891,0.879746692,-1.029712121
S1,1756553730,0,0.81,5.06518509,-3.30169166,-0.609838904,0.937763296,4.730687054,0.807299444,-2.113596679,0.980612054,4.044947466,0.554633649,-8.876202562,1.050761629,3.962839891,0.879746692,-1.029712121,1.27314571,4.015084059,2.777684468,0.652554864
S1,1756553731,1,0.937763296,4.730687054,0.807299444,-2.113596679,0.980612054,4.044947466,0.554633649,-8.876202562,1.050761629,3.962839891,0.879746692,-1.029712121,1.27314571,4.015084059,2.777684468,0.652554864,1.050809212,4.817073801,-3.269123375,11.79205137
S1,1756553732,1,0.980612054,4.044947466,0.554633649,-8.876202562,1.050761629,3.962839891,0.879746692,-1.029712121,1.27314571,4.015084059,2.777684468,0.652554864,1.050809212,4.817073801,-3.269123375,11.79205137,1.397032569,5.05486894,4.183951864,2.873646146
S1,1756553733,1,1.050761629,3.962839891,0.879746692,-1.029712121,1.27314571,4.015084059,2.777684468,0.652554864,1.050809212,4.817073801,-3.269123375,11.79205137,1.397032569,5.05486894,4.183951864,2.873646146,1.240040322,5.141760399,-1.956393706,1.082817185
S1,1756553734,1,1.27314571,4.015084059,2.777684468,0.652554864,1.050809212,4.817073801,-3.269123375,11.79205137,1.397032569,5.05486894,4.183951864,2.873646146,1.240040322,5.141760399,-1.956393706,1.082817185,0.670522185,5.239236586,-7.19818534,1.232009329
S1,1756553736,1,1.050809212,4.817073801,-3.269123375,11.79205137,1.397032569,5.05486894,4.183951864,2.873646146,1.240040322,5.141760399,-1.956393706,1.082817185,0.670522185,5.239236586,-7.19818534,1.232009329,0.573846669,4.809293087,-1.250775784,-5.562555476
S1,1756553737,1,1.397032569,5.05486894,4.183951864,2.873646146,1.240040322,5.141760399,-1.956393706,1.082817185,0.670522185,5.239236586,-7.19818534,1.232009329,0.573846669,4.809293087,-1.250775784,-5.562555476,0.94810337,4.171198868,4.950163589,-8.43985095
S1,1756553738,0,1.240040322,5.141760399,-1.956393706,1.082817185,0.670522185,5.239236586,-7.19818534,1.232009329,0.573846669,4.809293087,-1.250775784,-5.562555476,0.94810337,4.171198868,4.950163589,-8.43985095,0.992975327,4.02318282,0.569881029,-1.879827484
S1,1756553739,0,0.670522185,5.239236586,-7.19818534,1.232009329,0.573846669,4.809293087,-1.250775784,-5.562555476,0.94810337,4.171198868,4.950163589,-8.43985095,0.992975327,4.02318282,0.569881029,-1.879827484,1.239072234,3.916031154,3.079077295,-1.340643671
